,01,02,03,04,05,019,032,036,037,038,0250,P3,P4,P42,P45,P75,1,13,18,22,33,69,79,343,362,372,Es
1:11,-1,επι,επι,επι,επι,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,προσ,επι,επι,προσ,επι,επι,-1,επι,-1,προσ,επι
1:12,-1,ετοιμασαι τω,και αυτοσ προσελευ προελευ ενωπιον αυτου εν πνευματι και δυνα ηλεια ηλιου επιστρεψαι καρδιασ πατερων επι τεκνα και απειθεισ εν φρονησει δικαιων ε κυριω λαον κα ,και αυτοσ προσελευσεται ενωπιον αυτου εν πνι και δυναμει ηλιου επιστρεψαι καρδιασ πρων επι τεκνα και απειθεισ εν φρονησει δικαιων ετοι κυριω λαον κατεσκευασμενον ,ετοιμασαι,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ετοιμασαι,ετοιμασαι,ετοιμασαι,ετοιμασαι,ετοιμασαι,ετοιμασαι,-1,ετοιμασαι,-1,ετοιμασαι,ετοιμασαι
1:13,-1,εθαυμαζον,εθαυμαζον,εθαυμαζον,εθαυμαζον,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εθαυμαζον,και ην ο λαοσ προσδοκων τον ζαχαριαν και ε εν τω χρονι αυτον εν τω ναω ,εθαυμαζον,εθαυμαζον,και ην ο λαοσ προσδοκων τον ζαχαριαν και εθαυ εν τω χρονιζειν αυτον εν τω ναω ,και ην ο λαοσ προσδοκων τον ζαχαριαν και εθαυ εν τω χρονιζειν αυτον εν τω ναω ,-1,εθαυμαζον,-1,εθαυμαζον,εθαυμαζον
1:14,-1,εδυνατο,εδυνατο,ηδυνατο,ηδυνατο,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ηδυνατο,ηδυνατο,ηδυνατο,ηδυνατο,ηδυνατο,ηδυνατο,-1,ηδυνατο,-1,εδυνατο,ηδυνατο
1:15,-1,αυτοισ,αυτοισ,αυτοισ,αυτοισ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,αυτοισ,αυτοισ,αυτοισ,αυτοισ,αυτοισ,αυτοισ,-1,αυτοισ,-1,αυτοισ,αυτοισ
1:16,-1,εξελθων δε ουκ εδυνατο λαλησαι αυτοισ και επεγνωσαν οτι οπτασιαν εωρακεν εν τω ναω και αυτοσ ην διανευων αυτοισ και διε κωφοσ ,εξελ δε ουκ εδυνατο ηδυνατο λαλησαι αυτοισ και επεγνωσαν οτι οπτα εορακεν εωρακεν εν τω να και αυτοσ ην δια αυτοισ και δι δι κωφοσ ,διεμενε,διεμεινε,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,διεμενε,διεμενε,διεμενε,διεμενε,διεμενε,διεμενε,-1,διεμενε,-1,διεμενε,διεμενε
1:17,-1,επλησθησαν,και εγενετο ωσ επλησθη αι ημεραι τησ λει αυτου απηλ εισ τον οικον αυ ,επλησθησαν,επλησθησαν,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,και εγενετο ωσ επλη αι ημεραι τησ λειτουργιασ αυτου απηλθεν εισ τον οικον αυτου ,και εγενετο ωσ επλη αι ημεραι τησ λειτουργειασ αυτου απηλθεν εισ τον οικον αυτου ,επλησθησαν,επλησθησαν,επλησθησαν,επλησθησαν,-1,και εγενετο ωσ επλη αι ημεραι τησ λειτουργιασ αυ απηλθεν εισ τον οικον αυτου ,-1,επλησθησαν,επλησθησαν
1:18,-1,ταυτασ τασ ημερασ,ταυτασ τασ ημερασ,ταυτασ τασ ημερασ,τασ ημερασ ταυτασ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,μετα δε ταυ τασ ημερασ συνελαβεν ελισαβετ η γυνη αυτου και περιεκρυβεν εαυτην μηνασ πεντε λεγουσα ,τασ ημερασ ταυτασ,ταυτασ τασ ημερασ,ταυτασ τασ ημερασ,ταυτασ τασ ημερασ,τασ ημερασ ταυτασ,-1,ταυτασ τασ ημερασ,-1,ταυτασ τασ ημερασ,ταυτασ τασ ημερασ
1:19,-1,οτι ουτωσ μοι πεποι ο κυριοσ εν ημεραισ αισ ε αφελειν το ονιδοσ μου εν ανοισ ,επειδεν,οτι ουτωσ μοι πεποιηκεν κυριοσ εν ημεραισ αισ επιδεν αφελειν το ονιδοσ μου εν ανθροποισ ,εφειδεν,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,επειδεν,ουτωσ μοι πεποιηκεν ο κυριοσ εν ημεραισ αισ ε αφελειν το ονει μου εν ανοισ ,επειδεν,επειδεν,επειδεν,ου οτι ουτωσ μοι πεποιηκεν ο κυριοσ εν ημεραισ αισ εφιδεν αφελειν το ονειδοσ μου εν ανθρωποισ ,-1,επειδεν,-1,επειδεν,επειδεν
1:20,-1,υπο,απο,υπο,υπο,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,απο,απο,υπο,υπο,υπο,απο,-1,υπο,-1,απο,υπο
1:21,-1,του,του,του,του,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,του,του,του,του,του,,-1,του,-1,του,του
1:22,-1,εν δε τω μηνι τω εκτω απεσταλη ο αγγελοσ γαβριηλ υπο του θεου εισ πολιν τησ γαλιλαιασ η ονομα ναζαραθ ,ναζαρετ,εν δε τω μηνι τω εκτω απεσταλη ο αγγελοσ γαβριηλ υπο του θεου εισ πολιν τησ γαλιλαιασ η ονομα ναζερεθ ,εν δε τω εκτω μηνι απεσταλη ο αγγελοσ γαβριηλ υπο του θεου εισ πολιν γαλιλαιαν ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ναζαρεθ,εν δε τω μηνι τω εκτω απεσταλη ο αγγελοσ γαβριηλ απο του θεου εισ πολιν τησ γαλι η ονομα να ,ναζαρετ,ναζαρετ,ναζαρετ,ναζαρεθ,-1,εν δε τω μηνι τω εκτω α αγγελοσ γαβριηλ υπο του θεου εισ πολιν τησ γαλιλαιασ η ονομα να ,-1,ναζαρετ,ναζαρετ
1:23,-1,οικου,οικου,οικου και πατριασ,οικου,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,οικου και πατριασ,οικου,οικου,οικου,οικου,οικου,-1,οικου,-1,οικου,οικου
1:24,-1,δε ιδουσα,δε,δε,δε,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,δε,δε ιδουσα,δε ιδουσα,δε ιδουσα,δε ιδουσα,δε ιδουσα,-1,δε ιδουσα,-1,δε ιδουσα,δε ιδουσα
1:25,-1,διεταραχθη επι τω λογω,επι τω λογω διεταραχθη,διεταραχθη επι τω λογω,ην η δε επι τω λογω εταραχθη και διελογιζετο εν εαυτη ποδαποσ ποταποσ αν ειη ο ασπασμοσ ουτοσ ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,επι τω λογω διεταραχθη,διεταραχθη επι τω λογω,διεταραχθη επι τω λογω,η δε ιδουσα διεταραχθη επι τωι λογωι και διελογιζετο ποταποσ ειη ο ασπασμοσ ουτοσ ,διεταραχθη επι τω λογω,η δε ιδουσα διεταραχθη επι τω λο αυτου και διελογιζετο ποταποσ ει ο ασπασ ουτοσ ,-1,διεταραχθη επι τω λογω,-1,διεταραχθη επι τω λογω,διεταραχθη επι τω λογω
1:26,-1,τω λογω αυτου,τω λογω,τω λογω αυτου,τω λογω,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,τω λογω,τω λογω αυτου,τω λογω αυτου,η δε ιδουσα διεταραχθη επι τωι λογωι και διελογιζετο ποταποσ ειη ο ασπασμοσ ουτοσ ,τω λογω αυτου,η δε ιδουσα διεταραχθη επι τω λο αυτου και διελογιζετο ποταποσ ει ο ασπασ ουτοσ ,-1,τω λογω αυτου,-1,τω λογω αυτου,τω λογω αυτου
1:27,-1,ο αγγελοσ αυτη,ο αγγελοσ αυτη,και ειπεν ο αγγελοσ προσ αυ μη φοβου μαριαμ ευρεσ γαρ χαριν παρα τω θεω ,αυτη ο αγγελοσ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ο αγγελοσ αυτη,και ειπεν αυ ο αγγελοσ μη φο μαριαμ ευρεσ γ χαριν παρα τω θεω ,ο αγγελοσ αυτη,ο αγγελοσ αυτη,ο αγγελοσ αυτη,αυτη ο αγγελοσ,-1,ο αγγελοσ αυτη,-1,ο αγγελοσ αυτη,ο αγγελοσ αυτη
1:28,-1,εσται,εσται μοι,εσται μοι,εσται,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εσται μοι,ειπε δε μαριαμ προσ τον αγγελον πωσ ε μοι τουτο επει ανδρα ου γινωσκω ,εσται,εσται μοι,εσται μοι,εσται μοι,-1,εσται,-1,εσται,εσται
1:29,-1,γεννωμενον,και απο ο αγγελοσ ει αυτη πνευμα α επελευσεται ε σε και δυναμεισ υ επισκιασει σοι διο και το γεννωμε αγιον κληθησεται υιοσ θεου ,γεννωμενον εκ σου,γεννωμενον,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,γεννωμενον εκ σου,κ αποκριθεισ ο αγγε ειπεν αυτη πνευματι αγιον επελευσεται επι σε και δυναμισ υψιστου ε σοι διο και το γεννομενον αγιον κληθησεται υιοσ θεου ,γεννωμενον,και αποκριθεισ ο αγγελοσ ειπεν αυτηι πνευματι αγιον επελευσεται επι σε και δυ υψιστου επισκιασει σοι διο και το γεν εκ σου αγιον κληθησεται υιοσ θεου ,και α ο αγγελοσ ειπεν αυτη πνευματι αγιον επελευσεται επι σε και δυναμισ υψιστου επι σοι διο και το γεννομενον εκ σου αγιον κληθησεται υσ θεου ,και αποκριθεισ ο αγγελοσ ειπεν αυτη πνευματι αγιον επελευσεται επι σε και δυναμισ υψιστου επισκιασει σοι διο και το γεννομενον αγιον κληθησεται υιοσ θεου ,-1,και αποκριθεισ ο αγγελοσ ειπεν αυτη πνευματι αγιον επελευσεται επι σε και δυναμισ υψιστου επισκιασει σοι διο και το γεννομενον αγιον κληθησεται υσ θεου ,-1,γεννωμενον,γεννωμενον
1:30,-1,και αναστασα,αναστασα δε,αναστασα δε,αναστασα δε,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,αναστασα δε,αναστασα μαριαμ εν ταισ ημεραισ ταυταισ ε εισ την ορεινην μετα σπουδησ εισ πολιν ιουδα ,ανα δε μαριαμ εν ταισ ημεραισ ταυταισ επορευθη εισ την ορεινην μετα σπουδησ εισ πολιν ιουδα ,αναστασα δε,αναστασα δε,αναστασ δε μαριαμ εν ταισ ημεραισ ταυταισ επορευθη εισ την ο μετα σπουδησ εισ πολιν ιουδα ,-1,αναστασα δε,-1,αναστασα δε,αναστασα δε
1:31,-1,,δε,δε,δε,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,δε,,δε,δε,δε,δε,-1,δε,-1,δε,δε
1:32,-1,και εγενετο ωσ ηκουσεν η ε τον ασπασμον τησ μαριασ εσκιρτησεν το βρε εν τη κοιλια αυτησ και επλησθη πνσ αγιου η ελισαβετ ,και εγενετο ωσ ηκουσεν ηκουσε τον ασπασμον τησ μαριασ η ελεισα ελισα εσκιρτησεν εσκιρτησε το βρεφοσ εν τη κοιλια αυτησ και επλησθη πνευματοσ αγιου η ελεισαβετ ελισαβετ ,τον ασπασμον τησ μαριασ η ελισαβετ,και εγενετο ωσ ηκουσεν τον ασπασμον τησ μαριασ η ελισαβεδ εσκιρτησεν εν τη κοιλεια τησ ελισαβεδ το βρεφοσ αυτησ και επλησθη πνσ αγιου η ελισαβεδ ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,τον ασπασμον τησ μαριασ η ελισαβετ,τον ασπασμον τησ μαριασ η ελισαβετ,η ελισαβετ τον ασπασμον τησ μαριασ,η ελισαβετ τον ασπασμον τησ μαριασ,η ελισαβετ τον ασπασμον τησ μαριασ,και εγενετο ωσ ηκουσε τον α τησ μαριασ η ελισαβετ εσκιρτη το βρεφοσ εν τη κοιλια αυτησ και επλη πνσ αγιου η ελισαβετ ,-1,η ελισαβετ τον ασπασμον τησ μαριασ,-1,η ελισαβετ τον ασπασμον τησ μαριασ,η ελισαβετ τον ασπασμον τησ μαριασ
1:33,-1,ανεφωνησε,και ανεφω ανεφω κραυγη μεγαλη και ειπεν ευλογημε συ εν γυναιξιν και ευλογημενοσ ο καρποσ τησ κοιλιασ σου ,ανεβοησε,ανεφωνησε,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ανεφωνησε,και ανε φωνη μεγα και ειπεν ευλο συ εν γυναιξιν και ευλογημενοσ ο καρ τησ κοιλιασ σου ,ανεφωνησε,ανεφωνησε,ανεβοησε,ανεβοησε,-1,ανεφωνησε,-1,ανεφωνησε,ανεφωνησε
1:34,-1,το βρεφοσ εν αγαλλιασει,εν αγαλλιασει το βρεφοσ,το βρεφοσ εν αγαλλιασει,εν αγαλλιασει το βρεφοσ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ιδου γαρ ωσ εγενετο η φωνη του ασπασμου σου εισ τα ω μου εσκιρτησεν εν αγαλλιασει το βρε εν τη κοιλια μου ,ιδου γαρ ωσ εγενετο η φωνη του ασπασμου σου εισ τα ωτα μου εσκιρτησεν εν αγαλλιασει το βρε εν τη κοιλια σου ,το βρεφοσ εν αγαλλιασει,το βρεφοσ εν αγαλλιασει,ιδου γαρ ωσ εγενετο η φωνη του ασπασμου σου εισ τα ωτα μου εσ το βρεφοσ εν τη κοιλια μου ,ιδου γαρ ωσ εγενετο η φωνη του ασπασμου σου εισ τα ωτα μου εσκιρτη το βρεφοσ εναγαλλιασει εν τη κοιλια μου ,-1,το βρεφοσ εν αγαλλιασει,-1,εν αγαλλιασει το βρεφοσ,εν αγαλλιασει το βρεφοσ
1:35,-1,εσται,εσται,εσται,εσται,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εσται,εσται η,εσται,εσται,εσται,εσται,-1,εσται,-1,εσται,εσται
1:36,-1,και το ελεοσ αυτου εισ γενεασ γενεων τοισ φο αυτον ,γενεασ και γενεασ,και το ελεοσ αυτου εισ γενεασ και γε γενεων τοισ φοβουμενοισ αυτον ,και το ελεοσ αυτου εισ γενεαν γενεασ γενεων τοισ φοβουμενοισ αυτον ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,γενεαν και γενεαν,και το ελεοσ αυ εισ γενεαν και γε τοισ φοβουμε αυτον ,και το ελεοσ αυτου εισ γενεασ γενεων τοισ φοβουμενοισ αυτον ,και το ελεοσ αυτου εισ γε γενεων τοισ φοβουμενοισ αυτον ,και το ελεοσ αυτου εισ γενεασ γενεων τοισ φοβουμενοισ αυτον ,γενεαν και γενεαν,-1,και το ελεοσ αυτου εισ γενεαν και γε τοισ φοβουμενοισ αυτον ,-1,και το ελεοσ αυτου εισ γενεασ γενεων τοισ φοβουμενοισ αυτον ,γενεασ και γενεασ
1:37,-1,εισ τον αιωνα,εισ τον αιωνα,εωσ αιωνοσ,εισ τον αιωνα,-1,-1,-1,-1,-1,-1,-1,-1,καθ ελαλησεν π τουσ πρασ ημω τω αβρααμ κα τω σπερματι αυτου εισ τ αιωνα ,-1,-1,εωσ αιωνοσ,εωσ αιωνοσ,εωσ αιωνοσ,εισ τον αιωνα,εισ τον αιωνα,καθωσ ελαλησε προσ τουσ πρασ ημων τω αβρααμ και τω σπερματι αυτου εωσ αιω ,-1,εισ τον αιωνα,-1,εισ τον αιωνα,εισ τον αιωνα
1:38,-1,τη,τη,τη,τη,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,τη,τη,τη,τη,τη,τησ,-1,τη,-1,τη,τη
1:39,-1,ογδοη ημερα,και εγενετο εν τη η τη ογδοη ηλθον περιτεμειν το παιδι και εκαλουν αυτο επι τω ονοματι του πατροσ αυτου ζαχα ,ημερα τη ογδοη,ημερα τη ογδοη,-1,-1,-1,-1,-1,-1,-1,ημερα τη ογδοη,-1,-1,-1,ογδοη ημερα,και εγενετο εν τη ημε τη ογδοη ηλθον περιτεμειν το παι και εκαλουν αυτον επι το ονομα του πρσ αυτου ζα ,ογδοη ημερα,και εγενετο εν τηι ογδοηι ημεραι και ηλθον περιτεμειν το παιδιον και εκαλουν αυτο επι τωι ονοματι του πρσ αυτου ζαχαριαν ,ημερα τη ογδοη,και εγενετο εν τη η τη ογδοη ηλθον περιτεμειν το παιδιον και εκαλουν αυτω επι τω ονοματι του πρσ αυτου ζα ,-1,ογδοη ημερα,-1,ογδοη ημερα,ογδοη ημερα
1:40,-1,οτι,οτι,οτι,οτι,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,οτι,οτι,,οτι,οτι,-1,οτι,-1,οτι,οτι
1:41,-1,και ειπον προσ αυτην οτι ουδεισ εστιν εκ τησ συγγε σου οσ καλειτε τω ονο τουτω ,εκ τησ συγγενειασ,και ειπον προσ αυτην οτι ουδεισ εστιν εκ τησ συγγε εν τη συγγενια σου οσ καλειται τω ονοματι τουτω ,και ειπαν προσ αυτην οτι ουδεισ εστιν εν τ συνγενεια τι συ σου οσ καλειται το ονομα τουτο ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εν τη συγγενεια,και ειπον προσ αυτην οτι ουδεισ ε εν τη συγγενια σου οσ καλειται τω ονοματι τουτω ,εν τη συγγενεια,και ειπον προσ αυτην ουδεισ εστιν εν τηι συγγενειαι σου οσ καλειται τωι ονοματι τουτωι ,και ειπον προσ αυτην οτι ουδεισ εστιν εκ τησ συγγενιασ σου οσ καλειται τω ονοματι τουτω ,εν τη συγγενεια,-1,εν τη συγγενεια,-1,εκ τησ συγγενειασ,εν τη συγγενεια
1:42,-1,αυτον,αυτο,αυτο,αυτο,-1,-1,-1,-1,-1,-1,-1,το τι αν θελοι καλεισθαι αυτ ,-1,-1,-1,αυτον,αυτο,αυτον,αυτον,αυτο,αυτο,-1,αυτο,-1,αυτον,αυτον
1:43,-1,εστι,εστι,και αιτησασ πινακιδα πινακιδιον εγραψεν λεγων ιωαννησ ε το ονομα αυτου και εθαυμασαν παντεσ ,εστι,-1,-1,-1,-1,-1,-1,-1,και αιτησασ πινιδον εγραψεν λεγω ιωαννησ εστ ονομα αυτου κ εθαυμασαν παν ,-1,-1,-1,εσται,εστι,εσται,εσται,εστι,εστι,-1,εστι,-1,εστι,εστι
1:44,-1,εγενετο δε,και εγενετο,και εγενετο,και εγενετο,-1,-1,-1,-1,-1,-1,-1,φo βοσ τουσ περιοιου αυτουσ και εν ο τη ορεινη τησ ιου και ελαλ παντα τα ρηματ ταυ ,-1,-1,-1,και εγενετο,και εγενετο,και εγενετο,και εγενετο,και εγενετο,και εγενετο,-1,και εγενετο,-1,και εγενετο,και εγενετο
1:45,-1,παντα,παντα,παντα,παντα,-1,-1,-1,-1,-1,-1,-1,παντα,-1,-1,-1,παντα,παντα,παντα,παντα,παντα,παντα,-1,παντα,-1,παντα,παντα
1:46,-1,αυτων,αυτων,αυτων,αυτων,-1,-1,-1,-1,-1,-1,-1,αυτου,-1,-1,-1,αυτων,αυτων,αυτων,αυτων,αυτων,αυτων,-1,αυτων,-1,αυτων,αυτων
1:47,-1,και ζαχαριασ ο πηρ αυ επλησθη πνσ αγιου και ε λεγων ,και ζαχαριασ ο πατηρ αυτου επλησθη πνευ αγιου και επρο προε λεγων ,επροφητευσεν,και ζαχαριασ ο πατηρ αυτου επλησθη πνευματοσ αγιου και ειπεν ,-1,-1,-1,-1,-1,-1,-1,και ζαχ ο πατηρ αυτο επλησ πνοσ αγιυ και ετευε λεγων ,-1,-1,-1,και ζαχαριασ ο πηρ αυτου επλησθη πνσ αγιου και επροφητευσε λεγων ,και ζα ο πηρ αυτου ε πνσ αγιου και επροφητευσε λεγων ,και ζαχαριασ ο πηρ αυτου επλησθη πνσ αγιου και προεφητευσε λεγων ,και ζαχαριασ ο πηρ αυτου ε πνσ αγιου και προεφητευσε λεγων ,επροφητευσεν,και ζα ο πηρ αυτου επλησθη πνσ αγιου και προε λεγων ,-1,και ζαχαριασ ο πηρ αυτου επλησθη πνσ αγιου και προεφη λεγων ,-1,και ζαχαριασ ο πατερ αυτου επλησθη πνευματοσ αγιου και προεφητεισε λεγων ,και ζαχαριασ ο πατηρ αυτου επλησθη πνευματοσ αγιου και προεφητευσεν λεγων·
1:48,-1,εν τω,εν,εν,εν,-1,-1,-1,-1,-1,-1,-1,εν,-1,-1,-1,εν,εν,εν τω,εν,εν,εν,-1,εν τω,-1,εν τω,εν
1:49,-1,αγιων των,αγιων,αγιων των,αγιων,-1,-1,-1,-1,-1,-1,-1,κυριω ελαλησεν δα στο των α απ αιωνοσ προ α ,-1,-1,-1,αγιων των,αγιων,αγιων των,αγιων των,αγιων,αγιων,-1,καθωσ ελαλησε δια στοματοσ των αγι των απ αιωνοσ προφητων αυτου ,-1,αγιων των,αγιων
1:50,-1,χειροσ των,χειροσ,χειροσ των,χειροσ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,αφοβωσ εκ χει εχθρων ρυσθεντασ λατρευειν αυτωι ,χειροσ,χειροσ των,χειροσ των,χειροσ,χειροσ,-1,χειροσ των,-1,χειροσ των,χειροσ
1:51,-1,αφο εκ χειροσ των εχρων ημων ρυσθεντασ λατρευειν αυτω ,εχθρων,εχθρων,αφοβωσ εκ χειροσ εκθρων ημων ρυσθεντασ λατρευειν αυτω ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εχθρων,εχθρων,εχθρων,εχθρων,εχθρων,εχθρων,-1,εχθρων,-1,εχθρων,εχθρων
1:52,-1,εν οσιοτητι και δικαι ενωπιον αυτου πασασ τασ ημερασ ημων ,εν οσιοτητι και δικαιοσυνη ενωπιον αυτου πασαισ ταισ η ημων ,εν οσιοτητι και δικαιοσυνη ενω αυτου πασασ τασ ημερασ ημων ,εν οσιοτητι και δικαιοσυνη εν αυτου πασασ τασ ημερασ ημων ,-1,-1,-1,-1,-1,-1,-1,αυτου πασαισ ταισ ημερι ημων ,-1,-1,-1,εν οσιοτητι και δικαιοσυνηι ενωπιον αυτου πασασ τασ ημερασ τησ ζωησ ημων ,εν οσιοτητι και δικαιοσυνην ενωπι αυτου πασασ τασ ημερασ τησ ζωησ η ,εν οσιοτητι και δικαιοσυνη ενωπιον αυτου πασασ τασ ημερασ τησ ζωησ ημων ,εν οσιοτητι και δικαιοσυνηι ενωπιον αυτου πασασ τασ ημερασ ημων ,εν οσιο και δικαιοσυνη ενωπιον αυτου πασασ τασ ημερασ ημων ,εν ο και δικαιοσυνη ενωπιον αυτου πασασ τασ ημερασ τησ ζωησ ημων ,-1,εν οσιοτητι και δικαιοσυνη ενω αυτου πασασ τασ ημερασ τησ ζωησ ημων ,-1,εν οσιοτητι και δικαιοσυνη ενωπιον αυτου πασασ τασ ημερασ τησ ζωησ ημων ,λατρευειν αυτω εν οσιοτητι και δικαιοσυνη ενωπιον αυτου πασασ τασ ημερασ ημων.
